configuration,h0,h1,w0,w1,source_phase,keygen_mean_ms,sign_mean_ms,verify_mean_ms,signature_bytes,public_key_bytes,secret_key_bytes
H10-10_W16-16,10,10,16,16,HEIGHT,4888.614247300,11.028813610,2.611040260,4963,64,5998
H10-10_W16-4,10,10,16,4,WOTS,3820.982286500,7.830014060,2.143026730,7075,64,8110
H10-10_W4-16,10,10,4,16,WOTS,3829.627349700,4.302171110,2.135622330,7075,64,5998
H10-10_W4-4,10,10,4,4,WOTS,2756.036696500,4.305990380,1.699745180,9187,64,8110
H12-8_W16-16,12,8,16,16,HEIGHT,10411.904991600,11.165264480,2.600007180,4963,64,6238
H12-8_W16-4,12,8,16,4,JOINT,10100.190456700,11.182722580,2.146521150,7075,64,8350
H12-8_W4-16,12,8,4,16,JOINT,6222.789203500,6.276071140,2.158781280,7075,64,6238
H12-8_W4-4,12,8,4,4,JOINT,5827.106415100,6.165405690,1.696201530,9187,64,8350
H14-6_W16-16,14,6,16,16,HEIGHT,39879.915754100,11.453725390,2.782694470,4963,64,6478
H14-6_W16-4,14,6,16,4,JOINT,39170.225176400,11.276026150,2.152282860,7075,64,8590
H14-6_W4-16,14,6,4,16,JOINT,22103.821066400,6.230056040,2.031243480,7075,64,6478
H14-6_W4-4,14,6,4,4,JOINT,22052.329736900,6.244904030,1.708324980,9187,64,8590
H6-14_W16-16,6,14,16,16,HEIGHT,39277.914691300,8.867509210,2.700598350,4963,64,5518
H6-14_W16-4,6,14,16,4,JOINT,22314.662757000,8.640283350,2.183465720,7075,64,7630
H6-14_W4-16,6,14,4,16,JOINT,39239.669959800,4.744348330,2.174070360,7075,64,5518
H6-14_W4-4,6,14,4,4,JOINT,22051.038751800,4.736356880,1.638995910,9187,64,7630
H8-12_W16-16,8,12,16,16,HEIGHT,11501.286454200,12.068246730,2.822130520,4963,64,5758
H8-12_W16-4,8,12,16,4,JOINT,6279.254236900,11.264439010,2.217128520,7075,64,7870
H8-12_W4-16,8,12,4,16,JOINT,11193.323387700,6.665252250,2.234056120,7075,64,5758
H8-12_W4-4,8,12,4,4,JOINT,5840.799805700,6.030359940,1.645215580,9187,64,7870
